1	I have this phone for 1 year and i have only 1 gb free but the phone is as fast as the day i bought it !! 
1	First of all samsung is the best !!!'
1	im planning to buy the S6. 
0	Battery is the only thing im worried about. 
0	My cousin has the iphone 6splus and now its getting slow and you cant do anythink !!'
1	Can it withstand at least a day after average usage. 
1	Usually i keep mobile data on every time. 
1	Why do you want to change? Nothing wrong with s6.']
1	It the phone is really in bad shape and within warranty period they will repair for you free.'
1	One of my Samsung phone while within warranty they replace the screen foc (free).']
1	i bought Samsung galaxy s6 lollipop v5.0.2 last June month till now mobile is more u'There is nothing wrong after update to v6.0.1 '
1	After the update complete then it will optimize all the apps.'
0	Update is never perfect as it some apps may not able to run smoothly.'
0	There may have the possibility that it may not run properly partly due to the app's creator.
1	As for commonly used apps it should not be the problem.'
0	At worst case scenario the update file is corrupted in which the battery should be >50% or put on to charge by using the charger while updating.
1	There is nothing wrong after update to v6.0.1 '
0	I have samsung galaxy 6 for less than 90 days and yesterday I noticed that is getting warm wh more u'does your mobiles battery drain as well '
0	when I update that marshmallow in my mobile is very very bad condition
1	It the phone is really in bad shape and within warranty period they will repair for you free.'
1	one of my Samsung phone while within warranty they replace the screen foc (free).']
1	After the update complete then it will optimize all the apps.'
0	I have samsung galaxy 6 for less than 90 days and yesterday I noticed that is getting warm wh more u'does your mobiles battery drain as well 
0	My S6 is pain in arse not only the screen is many times black but the phone even switching it self off even with 100% battery
0	When sometimes someone call me the phone dies itself and then when switching it on again get the black screen causing me all the time do soft reset. 
1	The S6 is much better than the iPhone 6S.
0	S6 stops working due to lack of memory.
1	In my country the Galaxy S6 and the Nexus 5X are both at the same price 
1	I never used a Z3 but galaxy s6 is a ver nice phone and its cheaper now .
1	I have own the the Samsung Galaxy s6 since it came out. I love it. 
0	The biggest headache that now Samsung know they did not include SD slot for S6 only.'
0	I'm considering selling my S6 because kof absent of FM radio.]
0	it is highly priced and not value for money.phones with similar features are available much cheaper
1	In my country the Galaxy S6 and the Nexus 5X are both at the same price
1	The Galaxy S6 witch is more powerful
1	Tell me how good is the battery life time of this Samsung S6 u'Oh! It is very good  provided you do not use it all the time'
0	Tell me how good is the battery life time of this Samsung S6 u'owner s6 here.the battery is really not gonna hold long
0	Tell me how good is the battery life time of this Samsung S6 u'The battery is not good at all does really fast '
1	I could play the best games with high frame rate.
1	The battery seems to have very long life.
1	I was playing a lot so I can recharge it in the evening and the fast charge is ultra cool! Super fast charging is awesome and with my newly bought powerbank
1	The preinstalled applications are cool.
1	I make the best picture quality and video I have installed many applications and still the phone have a lot of space plus you get OneDrive space for 2 years plus google space and you have a lot of cloud space.
1	The sound is very clear during talk and loud enough so I can hear the person on loud places.'
1	The screen is super bright! During day even direct sunligh on my scree I can see everything super clearly! This is just awesome!'
1	You get a lot of camera modes from the Samsung store application for free! They are pretty cool!'
1	There is Ultra saving mode for the battery and believe me the phone can and will last for days maybe even a week!
1	The good thing is that if you don't use your phone during night the % of the battery do not drop.
1	You can dual screen and I found it pretty useful to check instagram and facebook at the same time or watch a video on youtube and browse the internet at the same time.'
1	It is elegant and with light weight.
1	I have installed many applications and still the phone have a lot of space plus you get OneDrive space for 2 years plus google space and you 
1	samsung s6 awesome phone!!!'
0	After updates into marshmallow there is 3G only option is missing network mode.
0	The battery life on this phone is horrible. Has a very very weak screen
0	But my biggest problem is signal has automatically Switched between 2G 3G and 4G during access the internet.
0	while watching videos on YouTube it's automatically switched into 2G in sometimes at the time I couldn't watch that video fully
1	'Samsung galaxy s6 is the best phone'
1	I could play the best games with high frame rate. The battery seems to have very long life. 
1	Super fast charging is awesome and with my newly bought powerbank- I even get my fast charge from the powerbank!'
1	Overall the phone will surve you well. It is elegant and with light weight.'
1	The screen is super bright! During day even direct sunligh on my scree I can see everything super clearly! This is just awesome!'
0	Then no need to go to Samsung.'
0	Tis is the worst product I have acquired in years.
0	Worked fine for a few days till the finger more u'You are just unlucky on having this problematic phone.'
0	Tis is the worst product I have acquired in years. Worked fine for a few days till the finger more u'You are just unlucky on having this problematic phone.'
0	Having 2 S5 (16GB 32GB) the 16GB became problematic and after reset it is fine.
0	The reboot fails 
0	Also I noticed that there is a blue or purple spot on pictures taken with the selfie camera is this normal? Because I find it annoying '
0	This has got to be the worst Samsung phone I've ever had. No removable sd card was a horrible Idea and 
0	i am very satisfied with its performance but rom today morning i am unable to fast charge the device do any one faced the same problem and is there any solution for this.
0	The overall performance is quite satisfactory but the major problem is with Battary Back up'
0	At least if the battaery is 3000 mAH then the combination will be great.
0	The overall performance is quite satisfactory but the major problem is with Battary Back up'
0	The battery is disappointing. I need to charge it 3 times a day and all I do is check social media for 10 minutes different times throughout the day.
1	But beware battery is awful with the S6.
1	I have my galaxy s6  since it was realeased and it works perfectly.
0	My phone keeps hanging not once not twice a day but at least 5 times sometimes only 1 time but once it hangs it take at least a few hours like come on
0	It says it has changed my phone's software two times but the phone still hangs 
0	I can't even get the earphones into my ear it seems that I had gotten the 'unlucky' phone
1	Samsung s6 Edge kind of attracted me so yeah here now Im using the brand new Samsung s6 edge+
0	I have been using it for 3 months and I feel that.. this phone is really terrible.
0	On the contrary my mother's S4 works perfectly well I have no idea why does a S4 works better then a S6 speaking about S6 it's earphones sucks
0	I can't even get the earphones into my ear it seems that I had gotten the 'unlucky' phone
0	'Will S6 hang after a few months of usage?'
1	you just can't say that any Sony is better than Samsung
1	Samsung is the king in the world of phones.
1	The Best Smartphone 2015 Now android 6.0 my samsung galaxy s6..so awesome??'
1	And another intersting thing multitasking on s6 5.1.1. Softwaresame amount of ram like z3 or z5 and multitaskig is 10 time betterit work better then note 5 with 4 gb 
1	Galaxy S6 is simply the best Very fast
1	Small battery but very fast charging.
0	i went from laggy samsung to fluid sony too;sony is faster and so much fluid than samsung more u'but i wonder how usa didnt approach sony in the market ?
0	which is better samsung galaxy s6 or iphone se u'IPhone 5se is more powerful then the Galaxy S6 and S6 Edge.
1	Galaxy S6 is simply the best Very fast. Small battery but very fast charging. Amazing definition. Nice photos and videos. I bought one last friday and I\xb4m in heaven with it.
1	So overall I would say the S6 is better but it really comes down to your personal preference.'
0	If you are a part of the Apple ecosystem  then the iPhone might be your best bet.'
1	S6 no memory card slot '
0	I went from sony to galaxy and it feels like i downgraded my phone exept camera departament'
1	Galaxy S6 much batter then iphone 6.
1	s6 has batter camera batter display batter battery life with fast charging batter sound quality batter look. You should buy Galaxy S6.'
1	It's a great phone.
0	My S6 has heating problem even though is just normal usage 
0	I am facing a big problem with s6 after the marchemelo software update as battery consumption
1	The S6 is a super Korea phone it is not a cheap China phone.
1	When it comes to storage the galaxy s6 has a fair amount starting at 32gb
0	The galaxy S6 has awesome hardware so its not all bad but in practicality do you need 3gb of ram and a top end chip or something that can run all your general everyday needs.'
1	Over all the Galaxy S6 is a stunning phone to look at but there are other smartphones at half the price that will do you more for your buck.
0	Stylish!but the design brings compromise the one thing that lets this phone down is the glass finish although it looks good it attracts fingerprints more then the fingerprint scanner and thats built in with purpose. '
0	The battery life is apalling in simple words if you use this phone all day youll need to charge it at least twice which does not take long but it is still longer then swapping out a battery..'
1	The galaxy S6 has awesome hardware so its not all bad but in practicality do you need 3gb of ram and a top end chip or something that can run all your general everyday needs.'
1	Over all the Galaxy S6 is a stunning phone to look at but there are other smartphones at half the price that will do you more for your buck. 
0	The battery life is apalling in simple words if you use this phone all day youll need to charge it at least twice which does not take long but it is still longer then swapping out a battery..'
0	The galaxy S6 has awesome hardware so its not all bad but in practicality do you need 3gb of ram and a top end chip or something that can run all your general everyday needs.'
0	Am facing Wifi issue while downloading data's with my latest updated marshmallow os.
1	I don't want a phone that the battery isn't going to last all day.
0	I do outdoor work don't want a phone that's going to die all the time.
1	What's up with this phone? I get the camera OK very good and the pixels yep it's nice to look at when your looks at pictured or videos.. very nice but really that's all it has going for it.
0	So with all this said I want a galaxy phone that doesn't over heat that the battery will last more the 8 hours.
1	The key is very sensitive to touch so be careful how you hold the phone in your hand.
0	The mobile is fast never lags camera is greatSound is good just the battery is not so great.
1	I have the Samsung galaxy s6 no heating problem it's a great phone for the price I will stick to this for a long time 
0	planning to buy Galaxy S6 but does it have heating issues as well
1	I had Galaxy S5 whi more I have the Samsung galaxy s6 no heating problem it's a great phone 
1	It is a great phone very powerful and quick with first class camera.
1	It's super stable and so so silky smooth! Finding myself using 
0	Can I buy S6 or should i wait for one plus three?'][P 19 Mar 2016 If you really want to improve on battery switch off all unnecessary features in the settings. 
0	I had Galaxy S5 which I sold within 6 months cuz it had lotta heating issues.'
0	This was the biggest disappointment I ever got from Samsung and it will be my last Samsung'
0	now the S6 by far the worst one 
0	the features that made me buy the 
0	Samsung India just fool their customers by giving old 6.0 marshmallow 
1	Hope it will boost battery 
1	Based on my experience s6 is better than s6 edge because s6 didn't cut any calls. but s6 edge did many times.
1	Galaxy smartphone can look up to'
1	It does a rather good'job at copying much of Samsung\xc2\x92s'
1	The finger print unlock is much faster too now
1	Also it seems like battery life has improved a bit. 
1	I love this phone even more. Thanks Samsung
0	So never buy samsung fone'
0	Go for iphone for better service'S6 is my last fone from samsung'][u'3rd class service for updates'
1	'The only thing that stop me from buy this phone is the non removeble battery 
1	The S6 has more functionality to its camera and has a fast way to snap a photo and/or opening the app.
0	I have had to return my S6 twice both times it was returned under warranty and both times they had to replace the LCD
0	I purchased the phone in June of 2015 it's now March of 2016 and its been in for repair twice.
0	I hope these are isolated examples but I think Samsung just simply missed the mark with the S6
1	The only down side would have been the price difference but considering the fact that it's almost the same for you definitely go for the S6.
0	I thought to buy Samsung Galaxy S5 but my friend recommended me to buy Sony Xperia Z2
1	I'm extremely satisfied, Battery life is amazing camera is natural everything is awesome.
1	S6 is for regular use if you do not need anymore features although it has a lot of those already and it is cheaper than S6 Edge.
0	I bought this phone a 10 months ago and it was working well.camera is fantastic but camera drains very fast.
0	while im typing on the keyboard it went black! completely black and I tried number of steps on how to restart and reboot it but no luck
0	Some off the fetures which are on the marshmellow update for s7 are not available on the 6S.
